,Universidade,Provedor
0,IFAC,['Private Cloud']
1,UFAC,['Private Cloud']
2,UNEAL,['Private Cloud']
3,IFAL,['Private Cloud']
4,UFAL,['Private Cloud']
5,UEAP,['Private Cloud']
6,IFAP,['Google Cloud']
7,UNIFAP,['Private Cloud']
8,UEA,['Private Cloud']
9,IFAM,['Private Cloud']
10,UFAMINPA,['Private Cloud']
11,UECE,['Private Cloud']
12,URCA,['Private Cloud']
13,UVA,['Private Cloud']
14,IFCE,['Private Cloud']
15,UFC,['Private Cloud']
16,UNILAB,['Private Cloud']
17,UFCA,['Private Cloud']
18,ESCS,['Private Cloud']
19,IFB,['Private Cloud']
20,UnB,['Private Cloud']
21,ENAP,['Private Cloud']
22,FACELI,['Private Cloud']
23,IFES,['Private Cloud']
24,UniRV,['Private Cloud']
25,UEG,['Private Cloud']
26,IFG,['Private Cloud']
27,UFG,['Private Cloud']
28,IF Goiano,['Private Cloud']
29,UEMA,['Private Cloud']
30,UEMASUL,['Private Cloud']
31,IEMA,['Private Cloud']
32,IFMA,['Private Cloud']
33,UFMA,['Private Cloud']
34,UNEMAT,['Private Cloud']
35,IFMT,['Private Cloud']
36,UFMT,['Private Cloud']
37,UFR,['AWS']
38,UEMS,['Private Cloud']
39,UFGD,['Private Cloud']
40,IFMS,['Private Cloud']
41,UFMS,['Private Cloud']
42,UEMG,['Private Cloud']
43,USP,['Private Cloud']
44,UNICAMP,['Private Cloud']
45,UNESP,['Private Cloud']
46,UNIVESP,['Private Cloud']
47,~Teste~ Netflix,['AWS']
48,~Teste~ VSCode,['Azure']
